airport_a,airport_a_name,airport_b,airport_b_name,distance_km,iata_a,iata_b
WBGM,Marudi Airport,WMKI,Sultan Azlan Shah Airport,1468.4,MUR,IPH
WBGQ,Bakalalan Airport,WMKI,Sultan Azlan Shah Airport,1612.1,BKM,IPH
WBGR,Miri Airport,WMKI,Sultan Azlan Shah Airport,1429.8,MYY,IPH
WBGS,Sibu Airport,WMKI,Sultan Azlan Shah Airport,1235.9,SBW,IPH
WBGW,Lawas Airport,WMKI,Sultan Azlan Shah Airport,1586.8,LWY,IPH
WBGZ,Bario Airport,WMKI,Sultan Azlan Shah Airport,1598.2,BBN,IPH
WBKD,Lahad Datu Airport,WMKI,Sultan Azlan Shah Airport,1910.0,LDU,IPH
WBKK,Kota Kinabalu International Airport,WMKI,Sultan Azlan Shah Airport,1663.1,BKI,IPH
WBKL,Labuan Airport,WMKI,Sultan Azlan Shah Airport,1570.4,LBU,IPH
WBKM,Tomanggong Airport,WMKI,Sultan Azlan Shah Airport,1948.0,TMG,IPH
WBKS,Sandakan Airport,WMKI,Sultan Azlan Shah Airport,1884.6,SDK,IPH
WBKT,Kudat Airport,WMKI,Sultan Azlan Shah Airport,1761.4,KUD,IPH
WBKW,Tawau Airport,WMKI,Sultan Azlan Shah Airport,1888.1,TWU,IPH
WBMU,Mulu Airport,WMKI,Sultan Azlan Shah Airport,1521.6,MZV,IPH
WMBT,Tioman Airport,WMKI,Sultan Azlan Shah Airport,392.1,TOD,IPH
WMKA,Sultan Abdul Halim Airport,WMKI,Sultan Azlan Shah Airport,196.1,AOR,IPH
WMKC,Sultan Ismail Petra Airport,WMKI,Sultan Azlan Shah Airport,222.1,KBR,IPH
WMKD,Kuantan Airport,WMKI,Sultan Azlan Shah Airport,250.8,KUA,IPH
MY-LBP,Long Banga Airport,WMKJ,Senai International Airport,1314.8,LBP,JHB
WBGB,Bintulu Airport,WMKJ,Senai International Airport,1051.7,BTU,JHB
WBGF,Long Lellang Airport,WMKJ,Senai International Airport,1290.9,LGL,JHB
WBGG,Kuching International Airport,WMKJ,Senai International Airport,743.0,KCH,JHB
WBGI,Long Seridan Airport,WMKJ,Senai International Airport,1292.1,ODN,JHB
WBGJ,Limbang Airport,WMKJ,Senai International Airport,1307.1,LMN,JHB
WBGK,Mukah Airport,WMKJ,Senai International Airport,940.5,MKM,JHB
WBGM,Marudi Airport,WMKJ,Senai International Airport,1216.9,MUR,JHB
WBGQ,Bakalalan Airport,WMKJ,Senai International Airport,1352.0,BKM,JHB
WBGR,Miri Airport,WMKJ,Senai International Airport,1183.7,MYY,JHB
WBGS,Sibu Airport,WMKJ,Senai International Airport,926.6,SBW,JHB
WBGW,Lawas Airport,WMKJ,Senai International Airport,1350.9,LWY,JHB
WBGZ,Bario Airport,WMKJ,Senai International Airport,1332.0,BBN,JHB
WBKD,Lahad Datu Airport,WMKJ,Senai International Airport,1669.5,LDU,JHB
WBKK,Kota Kinabalu International Airport,WMKJ,Senai International Airport,1453.7,BKI,JHB
WBKL,Labuan Airport,WMKJ,Senai International Airport,1347.8,LBU,JHB
WBKM,Tomanggong Airport,WMKJ,Senai International Airport,1714.9,TMG,JHB
WBKS,Sandakan Airport,WMKJ,Senai International Airport,1664.9,SDK,JHB
WBKT,Kudat Airport,WMKJ,Senai International Airport,1573.3,KUD,JHB
WBKW,Tawau Airport,WMKJ,Senai International Airport,1631.9,TWU,JHB
WBMU,Mulu Airport,WMKJ,Senai International Airport,1265.2,MZV,JHB
WMBT,Tioman Airport,WMKJ,Senai International Airport,141.7,TOD,JHB
WMKA,Sultan Abdul Halim Airport,WMKJ,Senai International Airport,622.5,AOR,JHB
WMKC,Sultan Ismail Petra Airport,WMKJ,Senai International Airport,525.9,KBR,JHB
WMKD,Kuantan Airport,WMKJ,Senai International Airport,242.8,KUA,JHB
WMKI,Sultan Azlan Shah Airport,WMKJ,Senai International Airport,433.4,IPH,JHB
MY-LBP,Long Banga Airport,WMKK,Kuala Lumpur International Airport,1521.2,LBP,KUL
WBGB,Bintulu Airport,WMKK,Kuala Lumpur International Airport,1256.7,BTU,KUL
WBGF,Long Lellang Airport,WMKK,Kuala Lumpur International Airport,1494.6,LGL,KUL
WBGG,Kuching International Airport,WMKK,Kuala Lumpur International Airport,970.5,KCH,KUL
WBGI,Long Seridan Airport,WMKK,Kuala Lumpur International Airport,1489.0,ODN,KUL
WBGJ,Limbang Airport,WMKK,Kuala Lumpur International Airport,1493.3,LMN,KUL
WBGK,Mukah Airport,WMKK,Kuala Lumpur International Airport,1147.7,MKM,KUL
WBGM,Marudi Airport,WMKK,Kuala Lumpur International Airport,1409.7,MUR,KUL
WBGQ,Bakalalan Airport,WMKK,Kuala Lumpur International Airport,1549.8,BKM,KUL
WBGR,Miri Airport,WMKK,Kuala Lumpur International Airport,1373.7,MYY,KUL
WBGS,Sibu Airport,WMKK,Kuala Lumpur International Airport,1142.7,SBW,KUL
WBGW,Lawas Airport,WMKK,Kuala Lumpur International Airport,1537.6,LWY,KUL
WBGZ,Bario Airport,WMKK,Kuala Lumpur International Airport,1532.5,BBN,KUL
WBKD,Lahad Datu Airport,WMKK,Kuala Lumpur International Airport,1860.4,LDU,KUL
WBKK,Kota Kinabalu International Airport,WMKK,Kuala Lumpur International Airport,1628.7,BKI,KUL
WBKL,Labuan Airport,WMKK,Kuala Lumpur International Airport,1528.2,LBU,KUL
WBKM,Tomanggong Airport,WMKK,Kuala Lumpur International Airport,1902.6,TMG,KUL
WBKS,Sandakan Airport,WMKK,Kuala Lumpur International Airport,1846.1,SDK,KUL
WBKT,Kudat Airport,WMKK,Kuala Lumpur International Airport,1738.9,KUD,KUL
WBKW,Tawau Airport,WMKK,Kuala Lumpur International Airport,1829.7,TWU,KUL
WBMU,Mulu Airport,WMKK,Kuala Lumpur International Airport,1460.7,MZV,KUL
WMBT,Tioman Airport,WMKK,Kuala Lumpur International Airport,272.2,TOD,KUL
WMKA,Sultan Abdul Halim Airport,WMKK,Kuala Lumpur International Airport,409.6,AOR,KUL
WMKC,Sultan Ismail Petra Airport,WMKK,Kuala Lumpur International Airport,385.9,KBR,KUL
WMKD,Kuantan Airport,WMKK,Kuala Lumpur International Airport,202.0,KUA,KUL
WMKI,Sultan Azlan Shah Airport,WMKK,Kuala Lumpur International Airport,213.9,IPH,KUL
WMKJ,Senai International Airport,WMKK,Kuala Lumpur International Airport,250.0,JHB,KUL
MY-LBP,Long Banga Airport,WMKL,Langkawi International Airport,1771.0,LBP,LGK
WBGB,Bintulu Airport,WMKL,Langkawi International Airport,1515.2,BTU,LGK
WBGF,Long Lellang Airport,WMKL,Langkawi International Airport,1739.1,LGL,LGK
WBGG,Kuching International Airport,WMKL,Langkawi International Airport,1295.4,KCH,LGK
WBGI,Long Seridan Airport,WMKL,Langkawi International Airport,1718.6,ODN,LGK
WBGJ,Limbang Airport,WMKL,Langkawi International Airport,1699.5,LMN,LGK
WBGK,Mukah Airport,WMKL,Langkawi International Airport,1417.5,MKM,LGK
WBGM,Marudi Airport,WMKL,Langkawi International Airport,1634.3,MUR,LGK
WBGQ,Bakalalan Airport,WMKL,Langkawi International Airport,1778.9,BKM,LGK
WBGR,Miri Airport,WMKL,Langkawi International Airport,1594.2,MYY,LGK
WBGS,Sibu Airport,WMKL,Langkawi International Airport,1432.0,SBW,LGK
WBGW,Lawas Airport,WMKL,Langkawi International Airport,1742.9,LWY,LGK
WBGZ,Bario Airport,WMKL,Langkawi International Airport,1768.1,BBN,LGK
WBKD,Lahad Datu Airport,WMKL,Langkawi International Airport,2062.4,LDU,LGK
WBKK,Kota Kinabalu International Airport,WMKL,Langkawi International Airport,1804.9,BKI,LGK
WBKL,Labuan Airport,WMKL,Langkawi International Airport,1720.5,LBU,LGK
WBKM,Tomanggong Airport,WMKL,Langkawi International Airport,2096.2,TMG,LGK
WBKS,Sandakan Airport,WMKL,Langkawi International Airport,2027.1,SDK,LGK
WBKT,Kudat Airport,WMKL,Langkawi International Airport,1890.7,KUD,LGK
WBKW,Tawau Airport,WMKL,Langkawi International Airport,2048.5,TWU,LGK
WBMU,Mulu Airport,WMKL,Langkawi International Airport,1688.5,MZV,LGK
WMBT,Tioman Airport,WMKL,Langkawi International Airport,627.4,TOD,LGK
WMKA,Sultan Abdul Halim Airport,WMKL,Langkawi International Airport,75.6,AOR,LGK
WMKC,Sultan Ismail Petra Airport,WMKL,Langkawi International Airport,284.0,KBR,LGK
WMKD,Kuantan Airport,WMKL,Langkawi International Airport,478.8,KUA,LGK
WMKI,Sultan Azlan Shah Airport,WMKL,Langkawi International Airport,247.3,IPH,LGK
WMKJ,Senai International Airport,WMKL,Langkawi International Airport,680.3,JHB,LGK
WMKK,Kuala Lumpur International Airport,WMKL,Langkawi International Airport,455.0,KUL,LGK
MY-LBP,Long Banga Airport,WMKM,Malacca International Airport,1464.1,LBP,MKZ
WBGB,Bintulu Airport,WMKM,Malacca International Airport,1199.7,BTU,MKZ
WBGF,Long Lellang Airport,WMKM,Malacca International Airport,1438.5,LGL,MKZ
WBGG,Kuching International Airport,WMKM,Malacca International Airport,904.3,KCH,MKZ
WBGI,Long Seridan Airport,WMKM,Malacca International Airport,1435.4,ODN,MKZ
WBGJ,Limbang Airport,WMKM,Malacca International Airport,1443.7,LMN,MKZ
WBGK,Mukah Airport,WMKM,Malacca International Airport,1089.7,MKM,MKZ
WBGM,Marudi Airport,WMKM,Malacca International Airport,1357.5,MUR,MKZ
WBGQ,Bakalalan Airport,WMKM,Malacca International Airport,1496.0,BKM,MKZ
WBGR,Miri Airport,WMKM,Malacca International Airport,1322.5,MYY,MKZ
WBGS,Sibu Airport,WMKM,Malacca International Airport,1081.3,SBW,MKZ
WBGW,Lawas Airport,WMKM,Malacca International Airport,1487.8,LWY,MKZ
WBGZ,Bario Airport,WMKM,Malacca International Airport,1477.6,BBN,MKZ
WBKD,Lahad Datu Airport,WMKM,Malacca International Airport,1809.5,LDU,MKZ
WBKK,Kota Kinabalu International Airport,WMKM,Malacca International Airport,1583.3,BKI,MKZ
WBKL,Labuan Airport,WMKM,Malacca International Airport,1480.7,LBU,MKZ
WBKM,Tomanggong Airport,WMKM,Malacca International Airport,1852.9,TMG,MKZ
WBKS,Sandakan Airport,WMKM,Malacca International Airport,1798.8,SDK,MKZ
WBKT,Kudat Airport,WMKM,Malacca International Airport,1697.0,KUD,MKZ
WBKW,Tawau Airport,WMKM,Malacca International Airport,1776.2,TWU,MKZ
WBMU,Mulu Airport,WMKM,Malacca International Airport,1407.6,MZV,MKZ
WMBT,Tioman Airport,WMKM,Malacca International Airport,220.6,TOD,MKZ
WMKA,Sultan Abdul Halim Airport,WMKM,Malacca International Airport,482.4,AOR,MKZ
WMKC,Sultan Ismail Petra Airport,WMKM,Malacca International Airport,433.8,KBR,MKZ
WMKD,Kuantan Airport,WMKM,Malacca International Airport,198.6,KUA,MKZ
WMKI,Sultan Azlan Shah Airport,WMKM,Malacca International Airport,286.6,IPH,MKZ
WMKJ,Senai International Airport,WMKM,Malacca International Airport,172.1,JHB,MKZ
WMKK,Kuala Lumpur International Airport,WMKM,Malacca International Airport,80.5,KUL,MKZ
WMKL,Langkawi International Airport,WMKM,Malacca International Airport,531.5,LGK,MKZ
MY-LBP,Long Banga Airport,WMKN,Sultan Mahmud Airport,1385.0,LBP,TGG
WBGB,Bintulu Airport,WMKN,Sultan Mahmud Airport,1127.9,BTU,TGG
WBGF,Long Lellang Airport,WMKN,Sultan Mahmud Airport,1353.7,LGL,TGG
WBGG,Kuching International Airport,WMKN,Sultan Mahmud Airport,913.7,KCH,TGG
WBGI,Long Seridan Airport,WMKN,Sultan Mahmud Airport,1335.1,ODN,TGG
WBGJ,Limbang Airport,WMKN,Sultan Mahmud Airport,1320.3,LMN,TGG
WBGK,Mukah Airport,WMKN,Sultan Mahmud Airport,1029.7,MKM,TGG
WBGM,Marudi Airport,WMKN,Sultan Mahmud Airport,1251.2,MUR,TGG
WBGQ,Bakalalan Airport,WMKN,Sultan Mahmud Airport,1395.7,BKM,TGG
WBGR,Miri Airport,WMKN,Sultan Mahmud Airport,1211.6,MYY,TGG
WBGS,Sibu Airport,WMKN,Sultan Mahmud Airport,1044.6,SBW,TGG
WBGW,Lawas Airport,WMKN,Sultan Mahmud Airport,1364.1,LWY,TGG
WBGZ,Bario Airport,WMKN,Sultan Mahmud Airport,1383.9,BBN,TGG
WBKD,Lahad Datu Airport,WMKN,Sultan Mahmud Airport,1685.9,LDU,TGG
WBKK,Kota Kinabalu International Airport,WMKN,Sultan Mahmud Airport,1433.8,BKI,TGG
WBKL,Labuan Airport,WMKN,Sultan Mahmud Airport,1344.6,LBU,TGG
WBKM,Tomanggong Airport,WMKN,Sultan Mahmud Airport,1721.9,TMG,TGG
WBKS,Sandakan Airport,WMKN,Sultan Mahmud Airport,1655.9,SDK,TGG
WBKT,Kudat Airport,WMKN,Sultan Mahmud Airport,1527.9,KUD,TGG
WBKW,Tawau Airport,WMKN,Sultan Mahmud Airport,1668.2,TWU,TGG
WBMU,Mulu Airport,WMKN,Sultan Mahmud Airport,1305.2,MZV,TGG
WMBT,Tioman Airport,WMKN,Sultan Mahmud Airport,308.3,TOD,TGG
WMKA,Sultan Abdul Halim Airport,WMKN,Sultan Mahmud Airport,312.4,AOR,TGG
WMKC,Sultan Ismail Petra Airport,WMKN,Sultan Mahmud Airport,125.0,KBR,TGG
WMKD,Kuantan Airport,WMKN,Sultan Mahmud Airport,179.1,KUA,TGG
WMKI,Sultan Azlan Shah Airport,WMKN,Sultan Mahmud Airport,240.5,IPH,TGG
WMKJ,Senai International Airport,WMKN,Sultan Mahmud Airport,420.7,JHB,TGG
WMKK,Kuala Lumpur International Airport,WMKN,Sultan Mahmud Airport,331.4,KUL,TGG
WMKL,Langkawi International Airport,WMKN,Sultan Mahmud Airport,387.8,LGK,TGG
WMKM,Malacca International Airport,WMKN,Sultan Mahmud Airport,359.2,MKZ,TGG
MY-LBP,Long Banga Airport,WMKP,Penang International Airport,1693.2,LBP,PEN
WBGB,Bintulu Airport,WMKP,Penang International Airport,1433.6,BTU,PEN
WBGF,Long Lellang Airport,WMKP,Penang International Airport,1662.6,LGL,PEN
WBGG,Kuching International Airport,WMKP,Penang International Airport,1195.8,KCH,PEN
WBGI,Long Seridan Airport,WMKP,Penang International Airport,1645.8,ODN,PEN
WBGJ,Limbang Airport,WMKP,Penang International Airport,1632.8,LMN,PEN
WBGK,Mukah Airport,WMKP,Penang International Airport,1332.3,MKM,PEN
WBGM,Marudi Airport,WMKP,Penang International Airport,1562.3,MUR,PEN
WBGQ,Bakalalan Airport,WMKP,Penang International Airport,1706.6,BKM,PEN
WBGR,Miri Airport,WMKP,Penang International Airport,1523.0,MYY,PEN
WBGS,Sibu Airport,WMKP,Penang International Airport,1342.1,SBW,PEN
WBGW,Lawas Airport,WMKP,Penang International Airport,1676.7,LWY,PEN
WBGZ,Bario Airport,WMKP,Penang International Airport,1694.0,BBN,PEN
WBKD,Lahad Datu Airport,WMKP,Penang International Airport,1998.8,LDU,PEN
WBKK,Kota Kinabalu International Airport,WMKP,Penang International Airport,1746.9,BKI,PEN
WBKL,Labuan Airport,WMKP,Penang International Airport,1657.7,LBU,PEN
WBKM,Tomanggong Airport,WMKP,Penang International Airport,2035.0,TMG,PEN
WBKS,Sandakan Airport,WMKP,Penang International Airport,1969.0,SDK,PEN
WBKT,Kudat Airport,WMKP,Penang International Airport,1839.8,KUD,PEN
WBKW,Tawau Airport,WMKP,Penang International Airport,1980.3,TWU,PEN
WBMU,Mulu Airport,WMKP,Penang International Airport,1616.1,MZV,PEN
WMBT,Tioman Airport,WMKP,Penang International Airport,511.3,TOD,PEN
WMKA,Sultan Abdul Halim Airport,WMKP,Penang International Airport,100.2,AOR,PEN
WMKC,Sultan Ismail Petra Airport,WMKP,Penang International Airport,243.2,KBR,PEN
WMKD,Kuantan Airport,WMKP,Penang International Airport,366.4,KUA,PEN
WMKI,Sultan Azlan Shah Airport,WMKP,Penang International Airport,121.4,IPH,PEN
WMKJ,Senai International Airport,WMKP,Penang International Airport,554.1,JHB,PEN
WMKK,Kuala Lumpur International Airport,WMKP,Penang International Airport,325.2,KUL,PEN
WMKL,Langkawi International Airport,WMKP,Penang International Airport,129.9,LGK,PEN
WMKM,Malacca International Airport,WMKP,Penang International Airport,402.1,MKZ,PEN
WMKN,Sultan Mahmud Airport,WMKP,Penang International Airport,313.1,TGG,PEN
MY-LBP,Long Banga Airport,WMPA,Pulau Pangkor Airport,1651.7,LBP,PKG
WBGB,Bintulu Airport,WMPA,Pulau Pangkor Airport,1389.0,BTU,PKG
WBGF,Long Lellang Airport,WMPA,Pulau Pangkor Airport,1622.5,LGL,PKG
WBGG,Kuching International Airport,WMPA,Pulau Pangkor Airport,1130.6,KCH,PKG
WBGI,Long Seridan Airport,WMPA,Pulau Pangkor Airport,1610.0,ODN,PKG
WBGJ,Limbang Airport,WMPA,Pulau Pangkor Airport,1603.7,LMN,PKG
WBGK,Mukah Airport,WMPA,Pulau Pangkor Airport,1284.1,MKM,PKG
WBGM,Marudi Airport,WMPA,Pulau Pangkor Airport,1527.8,MUR,PKG
WBGQ,Bakalalan Airport,WMPA,Pulau Pangkor Airport,1671.1,BKM,PKG
WBGR,Miri Airport,WMPA,Pulau Pangkor Airport,1489.6,MYY,PKG
WBGS,Sibu Airport,WMPA,Pulau Pangkor Airport,1288.1,SBW,PKG
WBGW,Lawas Airport,WMPA,Pulau Pangkor Airport,1647.9,LWY,PKG
WBGZ,Bario Airport,WMPA,Pulau Pangkor Airport,1656.6,BBN,PKG
WBKD,Lahad Datu Airport,WMPA,Pulau Pangkor Airport,1971.4,LDU,PKG
WBKK,Kota Kinabalu International Airport,WMPA,Pulau Pangkor Airport,1726.4,BKI,PKG
WBKL,Labuan Airport,WMPA,Pulau Pangkor Airport,1632.6,LBU,PKG
WBKM,Tomanggong Airport,WMPA,Pulau Pangkor Airport,2010.0,TMG,PKG
WBKS,Sandakan Airport,WMPA,Pulau Pangkor Airport,1947.6,SDK,PKG
WBKT,Kudat Airport,WMPA,Pulau Pangkor Airport,1826.3,KUD,PKG
WBKW,Tawau Airport,WMPA,Pulau Pangkor Airport,1948.1,TWU,PKG
WBMU,Mulu Airport,WMPA,Pulau Pangkor Airport,1580.7,MZV,PKG
WMBT,Tioman Airport,WMPA,Pulau Pangkor Airport,430.6,TOD,PKG
WMKA,Sultan Abdul Halim Airport,WMPA,Pulau Pangkor Airport,216.9,AOR,PKG
WMKC,Sultan Ismail Petra Airport,WMPA,Pulau Pangkor Airport,287.8,KBR,PKG
WMKD,Kuantan Airport,WMPA,Pulau Pangkor Airport,299.2,KUA,PKG
WMKI,Sultan Azlan Shah Airport,WMPA,Pulau Pangkor Airport,69.7,IPH,PKG
WMKJ,Senai International Airport,WMPA,Pulau Pangkor Airport,451.2,JHB,PKG
WMKK,Kuala Lumpur International Airport,WMPA,Pulau Pangkor Airport,210.4,KUL,PKG
WMKL,Langkawi International Airport,WMPA,Pulau Pangkor Airport,249.2,LGK,PKG
WMKM,Malacca International Airport,WMPA,Pulau Pangkor Airport,289.9,MKZ,PKG
WMKN,Sultan Mahmud Airport,WMPA,Pulau Pangkor Airport,309.6,TGG,PKG
WMKP,Penang International Airport,WMPA,Pulau Pangkor Airport,120.9,PEN,PKG
MY-LBP,Long Banga Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1538.0,LBP,SZB
WBGB,Bintulu Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1273.6,BTU,SZB
WBGF,Long Lellang Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1510.7,LGL,SZB
WBGG,Kuching International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,995.0,KCH,SZB
WBGI,Long Seridan Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1503.2,ODN,SZB
WBGJ,Limbang Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1504.7,LMN,SZB
WBGK,Mukah Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1165.6,MKM,SZB
WBGM,Marudi Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1423.1,MUR,SZB
WBGQ,Bakalalan Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1564.2,BKM,SZB
WBGR,Miri Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1386.4,MYY,SZB
WBGS,Sibu Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1163.2,SBW,SZB
WBGW,Lawas Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1549.1,LWY,SZB
WBGZ,Bario Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1547.6,BBN,SZB
WBKD,Lahad Datu Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1872.4,LDU,SZB
WBKK,Kota Kinabalu International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1637.1,BKI,SZB
WBKL,Labuan Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1538.1,LBU,SZB
WBKM,Tomanggong Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1913.7,TMG,SZB
WBKS,Sandakan Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1855.7,SDK,SZB
WBKT,Kudat Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1744.8,KUD,SZB
WBKW,Tawau Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1843.5,TWU,SZB
WBMU,Mulu Airport,WMSA,Sultan Abdul Aziz Shah International Airport,1474.6,MZV,SZB
WMBT,Tioman Airport,WMSA,Sultan Abdul Aziz Shah International Airport,292.0,TOD,SZB
WMKA,Sultan Abdul Halim Airport,WMSA,Sultan Abdul Aziz Shah International Airport,363.3,AOR,SZB
WMKC,Sultan Ismail Petra Airport,WMSA,Sultan Abdul Aziz Shah International Airport,347.5,KBR,SZB
WMKD,Kuantan Airport,WMSA,Sultan Abdul Aziz Shah International Airport,197.7,KUA,SZB
WMKI,Sultan Azlan Shah Airport,WMSA,Sultan Abdul Aziz Shah International Airport,167.6,IPH,SZB
WMKJ,Senai International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,288.0,JHB,SZB
WMKK,Kuala Lumpur International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,46.4,KUL,SZB
WMKL,Langkawi International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,408.9,LGK,SZB
WMKM,Malacca International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,123.9,MKZ,SZB
WMKN,Sultan Mahmud Airport,WMSA,Sultan Abdul Aziz Shah International Airport,304.0,TGG,SZB
WMKP,Penang International Airport,WMSA,Sultan Abdul Aziz Shah International Airport,279.1,PEN,SZB
WMPA,Pulau Pangkor Airport,WMSA,Sultan Abdul Aziz Shah International Airport,166.0,PKG,SZB
